label,group_idx,mos_mean,mos_min,mos_max,mmd_score
MMD_sd_vae_L11_g1.0e-04,70,73.58348795500001,73.46868897499999,73.76844457272728,1.3484303053701296e-05
MMD_sd_vae_L11_g1.0e-04,71,73.93860900654545,73.80118299272728,74.01135728181818,4.848702246817993e-06
MMD_sd_vae_L11_g1.0e-04,72,74.20439588545455,74.05095793636363,74.38583995454546,1.4406002264877316e-05
MMD_sd_vae_L11_g1.0e-04,73,74.73206855272727,74.46433656818182,74.9084351090909,1.596291440364439e-06
MMD_sd_vae_L11_g1.0e-04,74,75.06139675,75.02020153181819,75.14242499545455,8.77785078046145e-06
MMD_sd_vae_L11_g1.0e-04,75,75.241960922,75.14524949545454,75.30463428181818,8.325444468937349e-06
MMD_sd_vae_L11_g1.0e-04,76,75.4421082240909,75.35053226363635,75.54217925454545,8.666530447953846e-06
MMD_sd_vae_L11_g1.0e-04,77,75.73595213809092,75.65154605454546,75.79512009954546,9.4036731752567e-06
MMD_sd_vae_L11_g1.0e-04,78,75.98828850090909,75.84170493636363,76.16321556363636,8.846983291732613e-06
MMD_sd_vae_L11_g1.0e-04,79,76.27325769218183,76.19598609272727,76.32376224090909,6.343275344988797e-06
MMD_sd_vae_L11_g1.0e-04,80,76.45166550063637,76.35414479090909,76.5471795409091,9.452188351133373e-06
MMD_sd_vae_L11_g1.0e-04,81,76.6462588629091,76.59774437272728,76.67586082272727,1.7477947039878927e-05
MMD_sd_vae_L11_g1.0e-04,82,76.94658449972727,76.81212329090908,77.11547369545454,8.473094567307271e-06
MMD_sd_vae_L11_g1.0e-04,83,77.28899782181819,77.14402031818182,77.52582683636363,3.767911493923748e-06
MMD_sd_vae_L11_g1.0e-04,84,77.77769119081817,77.65479755863636,77.9733424409091,7.858509889047127e-06
MMD_sd_vae_L11_g1.0e-04,85,78.22074370363637,78.0566007590909,78.3483194,8.24994822323788e-06
MMD_sd_vae_L11_g1.0e-04,86,78.53206928127273,78.4185978909091,78.5853263609091,1.3726421457249671e-06
MMD_sd_vae_L11_g1.0e-04,87,78.91919609818181,78.61859467727272,79.25695136818182,9.517617399978917e-06
MMD_sd_vae_L11_g1.0e-04,88,79.45154426518181,79.28284742727273,79.62850745318183,9.846103239397053e-06
