layer,layer_name,gamma,spearman_rho,pval,strict_mono,kendall_tau
0,conv_in,1.946656343342263e-08,0.05293417935304748,0.00018060856605335216,0.288,0.0951
0,conv_in,1.9828839491270715e-08,0.05291453379142624,0.00018161229644141666,0.289,0.0939
0,conv_in,2.0197857568198784e-08,0.05291512081957535,0.0001815822281789222,0.29,0.0946
0,conv_in,2.0573743134329116e-08,0.052907086147548986,0.00018199417993359506,0.286,0.093
0,conv_in,2.095662399480431e-08,0.05288700062933797,0.00018302784562527366,0.286,0.0945
0,conv_in,2.1346630333242455e-08,0.052928444765486485,0.00018090101723970312,0.288,0.0944
0,conv_in,2.17438947560008e-08,0.052946620573686855,0.00017997561869059417,0.286,0.0945
0,conv_in,2.2148552337263593e-08,0.05292511245742248,0.00018107116193382593,0.286,0.0929
0,conv_in,2.256074066496859e-08,0.05291644156965973,0.00018151459493329783,0.289,0.0949
0,conv_in,2.2980599887588488e-08,0.05291433415822397,0.0001816225229518139,0.288,0.0945
0,conv_in,2.3408272761782943e-08,0.05294578559813851,0.00018001803273458622,0.29,0.0934
0,conv_in,2.3843904700937205e-08,0.05291536212890326,0.0001815698693923934,0.288,0.0938
0,conv_in,2.4287643824604505e-08,0.052932998380019775,0.00018066875668710884,0.288,0.0927
0,conv_in,2.4739641008868117e-08,0.052934614874738814,0.00018058637358364988,0.29,0.0935
0,conv_in,2.5200049937640895e-08,0.05291452822523738,0.00018161258157046008,0.29,0.093
0,conv_in,2.566902715491952e-08,0.052918152811862504,0.00018142700049782868,0.288,0.0936
0,conv_in,2.614673211801092e-08,0.05293079179846366,0.00018078127002322712,0.289,0.0932
0,conv_in,2.6633327251749808e-08,0.052923345614565194,0.00018116143636970287,0.289,0.0941
0,conv_in,2.7128978003724646e-08,0.05291589889465918,0.0001815423814817383,0.29,0.0942
0,conv_in,2.763385290053167e-08,0.05292736162661895,0.00018095630485865733,0.289,0.0944
0,conv_in,2.8148123605075813e-08,0.0529036993763872,0.0001821680886730502,0.288,0.0935
0,conv_in,2.8671964974937697e-08,0.05291290887953055,0.00018169555071957026,0.287,0.0939
0,conv_in,2.9205555121827452e-08,0.05294088167970822,0.00018026732554157036,0.291,0.0948
0,conv_in,2.9749075472144435e-08,0.05291971877236153,0.00018134687750404223,0.289,0.0944
0,conv_in,3.030271082866393e-08,0.05292270660941872,0.00018119409588468496,0.29,0.0941
0,conv_in,3.0866649433372746e-08,0.05292363683016747,0.00018114655419305042,0.288,0.0944
0,conv_in,3.144108303147265e-08,0.05291594505494325,0.00018154001778452147,0.288,0.0939
0,conv_in,3.2026206936576504e-08,0.05290977301897967,0.00018185632165627962,0.288,0.0949
0,conv_in,3.262222009711673e-08,0.05291506275080281,0.0001815852023202443,0.288,0.0933
0,conv_in,3.322932516398968e-08,0.05293696150941603,0.00018046684242905382,0.289,0.0943
0,conv_in,3.384772855945983e-08,0.05292549759677765,0.0001810514893752351,0.287,0.0933
0,conv_in,3.447764054734464e-08,0.052919667504045816,0.00018134950014119528,0.29,0.0947
0,conv_in,3.5119275304507276e-08,0.05291173082952712,0.00018175593193028581,0.291,0.0944
0,conv_in,3.577285099367877e-08,0.0529292688970471,0.00018085896099720873,0.29,0.0941
0,conv_in,3.6438589837635405e-08,0.05293362900983062,0.00018063661304192972,0.291,0.0941
0,conv_in,3.711671819475767e-08,0.052915208570895225,0.00018157773385657673,0.29,0.094
0,conv_in,3.780746663599349e-08,0.05293196292333647,0.00018072154630388782,0.289,0.0935
0,conv_in,3.851107002325569e-08,0.052923879486526756,0.00018113415444802114,0.289,0.0935
0,conv_in,3.9227767589277236e-08,0.05291471806583085,0.00018160285718883315,0.291,0.0945
0,conv_in,3.995780301895265e-08,0.05290932895649276,0.00018187909888816867,0.29,0.0938
0,conv_in,4.070142453219439e-08,0.05293666497754146,0.00018048194284607215,0.293,0.0936
0,conv_in,4.1458884968329114e-08,0.052910602385306565,0.00018181378827048083,0.29,0.0938
0,conv_in,4.223044187206672e-08,0.05291657916396104,0.00018150755033760426,0.292,0.0933
0,conv_in,4.3016357581067994e-08,0.052918342875561714,0.00018141727403902182,0.291,0.0936
0,conv_in,4.381689931514195e-08,0.052927601339624944,0.00018094406760652462,0.291,0.093
0,conv_in,4.4632339267103976e-08,0.05291790141488347,0.00018143986642367042,0.29,0.0937
