label,group_idx,score_mean,score_min,score_max,mmd_score
GramMMD_sd_vae_L11_g1.0e-04,39,0.18802842497825623,0.1879633665084839,0.18809758126735687,2.390394001849927e-06
GramMMD_sd_vae_L11_g1.0e-04,40,0.18815483152866364,0.18810036778450012,0.18822063505649567,2.5222179829142988e-06
GramMMD_sd_vae_L11_g1.0e-04,41,0.18831667304039001,0.18823456764221191,0.18839764595031738,1.9653225535876118e-06
GramMMD_sd_vae_L11_g1.0e-04,42,0.18847502768039703,0.18840573728084564,0.18854765594005585,3.6541187000693753e-06
GramMMD_sd_vae_L11_g1.0e-04,43,0.1886262446641922,0.1885480433702469,0.18870799243450165,-1.1924434147658758e-05
GramMMD_sd_vae_L11_g1.0e-04,44,0.18878479301929474,0.18871377408504486,0.1888708919286728,-4.080631697434001e-06
GramMMD_sd_vae_L11_g1.0e-04,45,0.18892806768417358,0.18887323141098022,0.18898169696331024,-6.733853297191672e-06
GramMMD_sd_vae_L11_g1.0e-04,46,0.18904954195022583,0.18898269534111023,0.1891060471534729,1.430163138138596e-06
GramMMD_sd_vae_L11_g1.0e-04,47,0.18918582797050476,0.1891084909439087,0.18925991654396057,-2.7978094294667244e-06
GramMMD_sd_vae_L11_g1.0e-04,48,0.18932804465293884,0.1892746090888977,0.18941450119018555,-2.588572897366248e-06
GramMMD_sd_vae_L11_g1.0e-04,49,0.18948984146118164,0.18942806124687195,0.18956530094146729,-5.657206202158704e-06
GramMMD_sd_vae_L11_g1.0e-04,50,0.18964704871177673,0.18957054615020752,0.18970221281051636,-6.94050504534971e-06
GramMMD_sd_vae_L11_g1.0e-04,51,0.18977466225624084,0.1897060126066208,0.1898575872182846,-8.301954039779957e-06
GramMMD_sd_vae_L11_g1.0e-04,52,0.18994934856891632,0.189860999584198,0.19003495573997498,-7.1765352913644165e-06
GramMMD_sd_vae_L11_g1.0e-04,53,0.1900860071182251,0.19003768265247345,0.19014690816402435,-7.0199675974436104e-06
GramMMD_sd_vae_L11_g1.0e-04,54,0.1902056187391281,0.19014739990234375,0.1902749240398407,1.2178097676951438e-06
GramMMD_sd_vae_L11_g1.0e-04,55,0.1903408020734787,0.19027535617351532,0.19040551781654358,-7.083703167154454e-06
GramMMD_sd_vae_L11_g1.0e-04,56,0.1904875785112381,0.1904071718454361,0.19057680666446686,9.463956303079613e-07
GramMMD_sd_vae_L11_g1.0e-04,57,0.19063565135002136,0.19059473276138306,0.1906985640525818,-1.0301089787390083e-05
GramMMD_sd_vae_L11_g1.0e-04,58,0.19077996909618378,0.19070273637771606,0.19086122512817383,-3.436623956076801e-06
GramMMD_sd_vae_L11_g1.0e-04,59,0.1909356415271759,0.19087351858615875,0.19101205468177795,-3.525548891047947e-06
