backbone,layer,k,spearman,kendall,spearman_level,mono_strict_rate,mono_partial_rate,mono_strict_n,n_total,score_lv1,score_lv2,score_lv3,score_lv4,score_lv5
DC-AE,5,5,0.4415190566936426,0.29754700048193666,0.37518051469712477,0.49679012345679013,0.762962962962963,1006,2025,0.47447914144635933,0.61546006799344,0.7105683251121591,0.829033237994112,0.940297984779574
DC-AE,5,10,0.38517950782872223,0.2589790405169243,0.34528876205815745,0.4562962962962963,0.731358024691358,924,2025,0.5568434711216178,0.6740505899310194,0.7536356292145627,0.849402848226559,0.9413081053685497
DC-AE,5,25,0.34785468796322594,0.2346112308231145,0.3243452445261089,0.44,0.6923456790123457,891,2025,0.6635978216641387,0.7611972155151087,0.8268830158585434,0.9019711755621392,0.9741870697407571
DC-AE,5,81,0.3256313730222042,0.2223356262700736,0.3105627047530971,0.5506172839506173,0.7120987654320987,1115,2025,0.7738705085779131,0.8380059399968254,0.8838178457447535,0.938045202447626,0.9879385406158134
DC-AE,6,1,0.6279692235528385,0.44890822274143294,0.4699828355379567,0.7891358024691358,0.8795061728395062,1598,2025,0.33542706963272745,0.6121651033197623,0.7840402426588943,1.0020771888881166,1.2444949098136655
DC-AE,6,5,0.5353837372092068,0.3630088387108367,0.43471870231546783,0.6167901234567901,0.782716049382716,1249,2025,0.5349170795621142,0.6737667815281413,0.7696874854385091,0.9005157538734274,1.0429017388301274
DC-AE,6,10,0.48795065864847126,0.3283951492891299,0.41172186929680554,0.5876543209876544,0.7664197530864197,1190,2025,0.6064588064847537,0.7224228828821928,0.8038450118230822,0.9130569655826629,1.0388640036526855
DC-AE,6,25,0.4493369076701303,0.30206818350013936,0.3918250563223989,0.554074074074074,0.7318518518518519,1122,2025,0.694190182589528,0.7893374576452834,0.857187130785042,0.945861004323869,1.0464373711790964
DC-AE,6,81,0.42378387175130156,0.2878943922832019,0.3724298721070292,0.6088888888888889,0.7491358024691358,1233,2025,0.7854471184003339,0.8480652551246562,0.8943599396420471,0.9528295893142499,1.0194103190581778
DC-AE,7,1,0.6235785234745564,0.44917463581214145,0.46977893715494784,0.7451851851851852,0.8558024691358025,1509,2025,0.828977967657115,1.1742273741367202,1.375635210068539,1.564248872243093,1.721168907722226
DC-AE,7,5,0.5494148735800707,0.3753220777832881,0.42009083575316913,0.5002469135802469,0.8034567901234568,1013,2025,0.9398766174816643,1.0378294103102585,1.0944735538023596,1.1531833342262368,1.1983519910055778
DC-AE,7,10,0.5125346968684111,0.3446464961608901,0.39698840309730704,0.48148148148148145,0.7422222222222222,975,2025,0.9701354757974808,1.0304469421538656,1.0655821879191794,1.1030776442711356,1.1315769554001847
DC-AE,7,25,0.48081668269786987,0.3195583061932622,0.37690755992904446,0.4479012345679012,0.7012345679012346,907,2025,0.9907829651418762,1.021809742426883,1.0398907752945992,1.0599148897099377,1.0751154017965667
DC-AE,7,81,0.5378725926776527,0.3713376235126602,0.42699204323860024,0.6612345679012346,0.808395061728395,1339,2025,0.9850833344815452,0.9963459960051563,1.003420189397254,1.011339170831537,1.0177184103900296
