layer,layer_name,gamma,spearman_rho,pval
0,relu1_1,1.4526539259467813e-07,-0.21705925841016352,0.033647183861507106
0,relu1_1,1.4796880626863963e-07,-0.21743155667364814,0.03333643167385073
0,relu1_1,1.5072253093107556e-07,-0.217200217037439,0.03352924210987739
0,relu1_1,1.5352750287804213e-07,-0.21679400703464,0.03387006951547044
0,relu1_1,1.563846758302248e-07,-0.21698465128450306,0.03370974968931858
0,relu1_1,1.592950212572123e-07,-0.2168475311991319,0.03382499442910687
0,relu1_1,1.6225952870780872e-07,-0.21657018641669032,0.03405910668053184
0,relu1_1,1.6527920614648973e-07,-0.21619256909977527,0.0343800506545724
0,relu1_1,1.6835508029612007e-07,-0.2168475311991319,0.03382499442910687
0,relu1_1,1.714881969870541e-07,-0.2165091444299768,0.03411081600622462
0,relu1_1,1.7467962151272458e-07,-0.21679474223736733,0.03386945002634855
0,relu1_1,1.7793043899185772e-07,-0.21642848907503415,0.03417924126540953
0,relu1_1,1.8124175473742396e-07,-0.21751294598926618,0.03326881994396198
0,relu1_1,1.8461469463245456e-07,-0.21848283533371474,0.03247195982788468
0,relu1_1,1.8805040551285834e-07,-0.21667118827997833,0.03397369170687805
0,relu1_1,1.915500555573528e-07,-0.21788745817179742,0.03295919125257954
0,relu1_1,1.9511483468466165e-07,-0.2174383391166163,0.033330792948331196
0,relu1_1,1.9874595495809857e-07,-0.21843535823293755,0.03251058904117693
0,relu1_1,2.0244465099768018e-07,-0.21702387411828544,0.033676845074138415
0,relu1_1,2.0621218039991447e-07,-0.2174308193163321,0.033337044739641025
0,relu1_1,2.1004982416539152e-07,-0.2184217933470012,0.03252163307022538
0,relu1_1,2.1395888713434216e-07,-0.21885512750949543,0.0321703874206321
0,relu1_1,2.179406984302958e-07,-0.21837505680817532,0.03255970845060863
0,relu1_1,2.2199661191199526e-07,-0.21700426276665333,0.03369329394703084
0,relu1_1,2.2612800663372794e-07,-0.21728160607704833,0.03346130152698193
0,relu1_1,2.3033628731421313e-07,-0.21713312918304858,0.03358533184707002
0,relu1_1,2.3462288481422625e-07,-0.21701104520962147,0.033687604459723
0,relu1_1,2.389892566231053e-07,-0.2166033640803039,0.034031029188821935
0,relu1_1,2.434368873543108e-07,-0.21731699211699057,0.03343179872271572
0,relu1_1,2.47967289250216e-07,-0.2166033640803039,0.034031029188821935
0,relu1_1,2.5258200269627846e-07,-0.21694322077993977,0.033744535726990245
0,relu1_1,2.572825967447932e-07,-0.21653553988062946,0.03408844803875064
0,relu1_1,2.620706696483855e-07,-0.21653553988062946,0.03408844803875064
0,relu1_1,2.669478494034318e-07,-0.21744512155958448,0.033325155025772976
0,relu1_1,2.7191579430360187e-07,-0.2172016901955153,0.033528011340653134
0,relu1_1,2.769761935036891e-07,-0.21821906009088526,0.03268706811444753
0,relu1_1,2.8213076759394705e-07,-0.21824470971242543,0.03266609832566372
0,relu1_1,2.8738126918510695e-07,-0.21832609875203476,0.03259963394040212
0,relu1_1,2.927294835042813e-07,-0.21786563302361112,0.032977168396414965
0,relu1_1,2.9817722900196733e-07,-0.21745794899620188,0.03331449438229279
0,relu1_1,3.0372635797033114e-07,-0.21786563302361112,0.032977168396414965
0,relu1_1,3.0937875717301365e-07,-0.2167397474908946,0.03391581546462974
0,relu1_1,3.1513634848664826e-07,-0.21633206728160612,0.0342611936709265
0,relu1_1,3.2100108955431685e-07,-0.21768250706347048,0.03312833292757694
0,relu1_1,3.2697497445117677e-07,-0.2168475311991319,0.03382499442910687
0,relu1_1,3.3306003436245885e-07,-0.2168475311991319,0.03382499442910687
0,relu1_1,3.3925833827409916e-07,-0.21766142159522522,0.03314577569812452
0,relu1_1,3.455719936762143e-07,-0.2168475311991319,0.03382499442910687
0,relu1_1,3.520031472796675e-07,-0.2175935973955508,0.03320193513363016
0,relu1_1,3.585539857459817e-07,-0.21792741405421254,0.03292630140268515
0,relu1_1,3.6522673643081754e-07,-0.2179470223392292,0.03291017087689357
0,relu1_1,3.7202366814130657e-07,-0.21741872910652757,0.03334709833521522
0,relu1_1,3.7894709190746713e-07,-0.217322300596853,0.0334273747129442
0,relu1_1,3.8599936176797634e-07,-0.21683470169244903,0.03383579412772503
0,relu1_1,3.9318287557057704e-07,-0.2168618314643217,0.03381296008453029
0,relu1_1,4.005000757873611e-07,-0.21724091155724368,0.0334952573196998
0,relu1_1,4.079534503452449e-07,-0.21642702116115034,0.034180487662274245
0,relu1_1,4.1554553347188797e-07,-0.2166033640803039,0.034031029188821935
0,relu1_1,4.232789065573544e-07,-0.21618285404232235,0.0343883410944866
0,relu1_1,4.3115619903182285e-07,-0.2162378467112499,0.0343414347197293
0,relu1_1,4.391800892596086e-07,-0.21580303852414545,0.03471378018553679
0,relu1_1,4.473533054498463e-07,-0.2165498390877858,0.03407633579226538
0,relu1_1,4.556786265841069e-07,-0.21616928920238745,0.03439991959573229
0,relu1_1,4.6415888336127725e-07,-0.2155460375284964,0.03493545245075454
0,relu1_1,4.7279695916003907e-07,-0.21592512208355946,0.034608893687979134
0,relu1_1,4.815957910192351e-07,-0.21592512208355946,0.034608893687979134
0,relu1_1,4.905583706365046e-07,-0.21551890775662372,0.03495892205612827
0,relu1_1,4.996877453854889e-07,-0.21485349972870324,0.03553871741363581
0,relu1_1,5.089870193519674e-07,-0.21519262072707546,0.03524222771017909
0,relu1_1,5.184593543892913e-07,-0.21519262072707546,0.03524222771017909
0,relu1_1,5.281079711934331e-07,-0.21589872456284132,0.03463155017624409
0,relu1_1,5.379361503980697e-07,-0.21584373304395013,0.034678788380080434
0,relu1_1,5.479472336900293e-07,-0.21595225176342922,0.03458562178296612
0,relu1_1,5.581446249454955e-07,-0.21545035268583834,0.03501828716547619
