label,gamma_tag,gamma_val,group_idx,mos_mean,mos_min,mos_max,mmd_score
SD_VAE_L11_10x_median,10x_median,2.1510e-05,22,78.78088833706818,78.0566007590909,79.62850745318183,0.0071125030517578125
SD_VAE_L11_10x_median,10x_median,2.1510e-05,23,80.66911940068182,79.6499864090909,81.66778405000001,0.008979899808764458
SD_VAE_L11_10x_median,10x_median,2.1510e-05,24,84.28556101838639,82.0783984909091,87.81027129545454,0.006411835551261902
SD_VAE_L11_50x_median,50x_median,1.0755e-04,1,16.95693878915909,10.383351573636363,22.207954510454545,4.759719558933284e-06
SD_VAE_L11_50x_median,50x_median,1.0755e-04,2,25.384277235181816,22.336504287727273,28.008295531363636,4.008087671536487e-06
SD_VAE_L11_50x_median,50x_median,1.0755e-04,3,32.564517177545454,28.427649107272728,37.183868766818186,3.274758273619227e-05
SD_VAE_L11_50x_median,50x_median,1.0755e-04,4,41.308731939454546,37.586910895,44.68483293727273,1.1764185728679877e-05
SD_VAE_L11_50x_median,50x_median,1.0755e-04,5,46.53733109702273,45.014271393181815,47.997159330454544,1.787584369594697e-05
SD_VAE_L11_50x_median,50x_median,1.0755e-04,6,50.52104208968181,48.745656067727275,51.78909724363636,4.8331476136809215e-06
SD_VAE_L11_50x_median,50x_median,1.0755e-04,7,53.22065402256818,51.85205774272727,54.72388539863636,5.0075632316293195e-06
SD_VAE_L11_50x_median,50x_median,1.0755e-04,8,56.40858111559091,55.23867115454546,57.06027285454545,4.9957716328208335e-06
SD_VAE_L11_50x_median,50x_median,1.0755e-04,9,58.50204308436364,57.08577673045454,59.61907620909091,5.796318873763084e-06
SD_VAE_L11_50x_median,50x_median,1.0755e-04,10,61.05352392104545,59.64024705,62.140166177272725,5.537721335713286e-06
SD_VAE_L11_50x_median,50x_median,1.0755e-04,11,63.095493819545446,62.30800517363637,63.89873966363636,1.2819831681554206e-05
SD_VAE_L11_50x_median,50x_median,1.0755e-04,12,64.4859051594091,63.92419218818182,65.15700578272727,7.197657396318391e-06
SD_VAE_L11_50x_median,50x_median,1.0755e-04,13,66.35020378895454,65.26560826818182,67.33497136227273,4.212134626868647e-06
SD_VAE_L11_50x_median,50x_median,1.0755e-04,14,68.21910480834092,67.50431248636363,69.04567613727274,4.8534907364228275e-06
SD_VAE_L11_50x_median,50x_median,1.0755e-04,15,69.57423877711364,69.05974111818182,70.20511073181818,5.697202141163871e-06
SD_VAE_L11_50x_median,50x_median,1.0755e-04,16,70.88703553449999,70.32331571818182,71.36296618181818,5.379038611863507e-06
SD_VAE_L11_50x_median,50x_median,1.0755e-04,17,72.44388955404546,71.46931471818182,73.33471177272727,1.3567611858888995e-05
SD_VAE_L11_50x_median,50x_median,1.0755e-04,18,73.78349232913637,73.33981687045456,74.38583995454546,5.48005800737883e-06
SD_VAE_L11_50x_median,50x_median,1.0755e-04,19,75.11938361220454,74.46433656818182,75.54217925454545,4.220594746584538e-06
SD_VAE_L11_50x_median,50x_median,1.0755e-04,20,76.11229095795454,75.65154605454546,76.5471795409091,5.160543878446333e-06
SD_VAE_L11_50x_median,50x_median,1.0755e-04,21,77.16488309381819,76.59774437272728,77.9733424409091,4.5081119424139615e-06
